model,quantization,language,token_f1
gemma2b,4bit,Bangla,0.09031092239449981
gemma2b,4bit,English,0.1918308101800749
gemma2b,8bit,Bangla,0.0941607596578037
gemma2b,8bit,English,0.19584400376825237
gemma2b,fp16,Bangla,0.09757966772743489
gemma2b,fp16,English,0.19402067388172073
phi2,4bit,Bangla,0.0
phi2,4bit,English,0.12490269816268858
phi2,8bit,Bangla,0.00308641975308642
phi2,8bit,English,0.11743441606954436
phi2,fp16,Bangla,0.0
phi2,fp16,English,0.11926634297760429
tinyllama,4bit,Bangla,0.015267143193540483
tinyllama,4bit,English,0.11243658880068398
tinyllama,8bit,Bangla,0.019943687252758333
tinyllama,8bit,English,0.1120842708314023
tinyllama,fp16,Bangla,0.022672672319053146
tinyllama,fp16,English,0.11097878729293682
tinyllama_lora,4bit,Bangla,0.02986136020844261
tinyllama_lora,4bit,English,0.11455218367608849
