model,quantization,samples,avg_latency_seconds,avg_memory_gb,avg_cpu_percent,avg_input_tokens,avg_output_tokens,avg_tokens_per_second,avg_token_f1,avg_exact_match,avg_bleu,avg_chrf,avg_rouge1,avg_rouge2,avg_rougeL,syntax_success_rate,appropriate_response_rate
gemma2b,4bit,480,1.6712934091687202,0.12126229604085287,21.665416666666665,71.25,80.50416666666666,56.37662865908208,0.14107086628728735,0.0,2.425092404553495,12.419496011417705,0.1939669575975345,0.09376293717408082,0.16243029201846643,0.0,0.3875
gemma2b,8bit,480,2.534903199970722,0.12238969802856445,20.95125,71.25,83.57916666666667,36.755331538683116,0.14500238171302804,0.0,2.739986635170678,13.007800594147898,0.19929138275456887,0.09647366248724515,0.16792242038551228,0.0,0.3875
gemma2b,fp16,480,3.85267160286506,0.035631593068440756,16.67375,71.25,81.4625,22.75060694119843,0.1458001708045778,0.0,2.6519006771939657,12.234178237026867,0.19857561912791657,0.09152955319684355,0.16355637964073608,0.0,0.4125
phi2,4bit,480,1.2351357738176982,0.02905886967976888,13.405833333333334,165.26666666666668,52.69375,76.1268827611303,0.06245134908134429,0.0125,4.121567518775658,8.619629365262616,0.2346313413681048,0.11977668605877131,0.20062624924318437,0.5125,0.2625
phi2,8bit,480,2.4301074728369714,0.028757794698079427,14.15375,165.26666666666668,70.7625,44.19788639790921,0.06026041791131539,0.00625,3.5468262637383545,8.674744384416737,0.2419317248463128,0.1219009273529976,0.20860638132424456,0.4375,0.2125
phi2,fp16,480,3.810541647672653,0.0258085568745931,17.186666666666667,165.26666666666668,65.17291666666667,24.646815265980432,0.05963317148880214,0.00625,4.2676915301625185,9.173118800722209,0.25030538930158136,0.13756077802843444,0.2185667845031432,0.3875,0.2625
tinyllama,4bit,480,1.1196253697077434,0.0394778569539388,12.626666666666667,127.72708333333334,132.25833333333333,132.45851381840652,0.06385186599711223,0.0,3.3600376366463345,7.430796746314587,0.1816195355109969,0.0812716659330038,0.14756702240625644,0.0,0.025
tinyllama,8bit,480,1.7809394583106042,0.038868014017740884,13.327499999999999,127.72708333333334,133.29375,80.56340991240786,0.06601397904208031,0.0,3.165752808543382,9.84940522308072,0.18123558684381372,0.08225418126260686,0.14287330680822466,0.0,0.05
tinyllama,fp16,480,3.0418635472655295,0.08600063323974609,15.160625000000001,127.72708333333334,135.6,46.633884692844894,0.06682572980599498,0.0,3.191288676579753,9.708704798692462,0.18613372505628728,0.08058406445961135,0.1451682912497447,0.0,0.025
tinyllama_lora,4bit,480,0.8242959439754486,0.06804990768432617,33.51916666666667,134.39583333333334,98.9625,134.19881016727246,0.07220677194226556,0.0,4.772552377791018,4.506421931055549,0.17315946834395585,0.0655503031035449,0.12060820729665626,0.0,0.05
