metric,value
train_runtime_minutes,43.95
final_eval_loss,0.5484338402748108
train_loss_step_10,0.9907
train_loss_step_20,0.8688
train_loss_step_30,0.8547
train_loss_step_40,0.7467
train_loss_step_50,0.7501
train_loss_step_60,0.7052
train_loss_step_70,0.6922
train_loss_step_80,0.6629
train_loss_step_90,0.6969
train_loss_step_100,0.5211
train_loss_step_110,0.5633
train_loss_step_120,0.5601
train_loss_step_130,0.5646
train_loss_step_140,0.591
train_loss_step_150,0.4875
train_loss_step_160,0.4928
train_loss_step_170,0.4596
train_loss_step_180,0.5854
train_loss_step_190,0.4076
train_loss_step_200,0.4181
train_loss_step_210,0.5092
train_loss_step_220,0.4951
train_loss_step_230,0.3904
train_loss_step_240,0.4338
train_loss_step_250,0.4098
train_loss_step_260,0.4164
train_loss_step_270,0.401
